Date,Time,Open,High,Low,Close
11/1/2019,0:00,1510.615,1510.615,1510.445,1510.445
11/1/2019,0:01,1510.445,1510.615,1510.445,1510.615
11/1/2019,0:02,1510.615,1510.628,1510.615,1510.625
11/1/2019,0:03,1510.648,1510.648,1510.605,1510.605
11/1/2019,0:04,1510.608,1510.685,1510.575,1510.648
11/1/2019,0:05,1510.648,1510.658,1510.465,1510.485
11/1/2019,0:06,1510.488,1510.498,1510.348,1510.375
11/1/2019,0:07,1510.365,1510.468,1510.305,1510.465
11/1/2019,0:08,1510.468,1510.485,1510.395,1510.395
11/1/2019,0:09,1510.385,1510.405,1510.295,1510.395
11/1/2019,0:10,1510.398,1510.648,1510.395,1510.575
11/1/2019,0:11,1510.555,1510.648,1510.508,1510.575
11/1/2019,0:12,1510.575,1510.608,1510.575,1510.598
11/1/2019,0:13,1510.588,1510.608,1510.515,1510.575
11/1/2019,0:14,1510.575,1510.605,1510.495,1510.585
11/1/2019,0:15,1510.588,1510.598,1510.505,1510.505
11/1/2019,0:16,1510.505,1510.618,1510.505,1510.588
11/1/2019,0:17,1510.598,1510.668,1510.585,1510.628
11/1/2019,0:18,1510.628,1510.825,1510.598,1510.825
11/1/2019,0:19,1510.815,1510.855,1510.815,1510.855
11/1/2019,0:20,1510.855,1510.865,1510.845,1510.855
11/1/2019,0:21,1510.855,1510.885,1510.655,1510.655
11/1/2019,0:22,1510.675,1510.775,1510.675,1510.725
11/1/2019,0:23,1510.725,1510.725,1510.655,1510.695
11/1/2019,0:24,1510.695,1510.695,1510.548,1510.605
11/1/2019,0:25,1510.628,1510.705,1510.625,1510.665
11/1/2019,0:26,1510.635,1510.735,1510.615,1510.705
11/1/2019,0:27,1510.685,1510.685,1510.525,1510.565
11/1/2019,0:28,1510.565,1510.695,1510.535,1510.565
11/1/2019,0:29,1510.585,1510.635,1510.535,1510.575
11/1/2019,0:30,1510.575,1510.585,1510.245,1510.395
11/1/2019,0:31,1510.395,1510.395,1510.245,1510.365
11/1/2019,0:32,1510.365,1510.435,1510.255,1510.435
11/1/2019,0:33,1510.435,1510.505,1510.335,1510.415
11/1/2019,0:34,1510.428,1510.445,1510.228,1510.228
11/1/2019,0:35,1510.165,1510.195,1510.115,1510.115
11/1/2019,0:36,1510.135,1510.328,1510.135,1510.228
11/1/2019,0:37,1510.235,1510.285,1510.128,1510.285
11/1/2019,0:38,1510.285,1510.328,1510.165,1510.315
